"Step","yolo_tomo_v1 - metrics/recall","yolo_tomo_v1 - metrics/recall__MIN","yolo_tomo_v1 - metrics/recall__MAX","yDICOM4 - metrics/recall","yDICOM4 - metrics/recall__MIN","yDICOM4 - metrics/recall__MAX","yDICOM3 - metrics/recall","yDICOM3 - metrics/recall__MIN","yDICOM3 - metrics/recall__MAX"
"117","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48320792490603814","0.48320792490603814","0.48320792490603814","0.39974757366061714","0.39974757366061714","0.39974757366061714"
"118","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.4","0.4","0.4"
"119","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.565940530694629","0.565940530694629","0.565940530694629","0.4","0.4","0.4"
"120","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.499816853890928","0.499816853890928","0.499816853890928"
"121","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"122","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"123","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"124","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.5827750430843214","0.5827750430843214","0.5827750430843214"
"125","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.48300447883781217","0.48300447883781217","0.48300447883781217"
"126","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"127","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"128","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.583157863746099","0.583157863746099","0.583157863746099"
"129","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.6655343731367123","0.6655343731367123","0.6655343731367123","0.5831218880021827","0.5831218880021827","0.5831218880021827"
"130","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.49910262375051107","0.49910262375051107","0.49910262375051107","0.582684199350866","0.582684199350866","0.582684199350866"
"131","0.5832873799065971","0.5832873799065971","0.5832873799065971","0.5","0.5","0.5","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"132","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.4992973171190993","0.4992973171190993","0.4992973171190993","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"133","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.4996751086346462","0.4996751086346462","0.4996751086346462","0.583321742795427","0.583321742795427","0.583321742795427"
"134","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5","0.5","0.5","0.582302772571229","0.582302772571229","0.582302772571229"
"135","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5829279279279279","0.5829279279279279","0.5829279279279279"
"136","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334"
"137","0.6665484775240873","0.6665484775240873","0.6665484775240873","0.831794789139422","0.831794789139422","0.831794789139422","0.48333333333333334","0.48333333333333334","0.48333333333333334"
"138","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334"
"139","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5","0.5","0.5","0.48333333333333334","0.48333333333333334","0.48333333333333334"
"140","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5","0.5","0.5","0.48333333333333334","0.48333333333333334","0.48333333333333334"
"141","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.49985535472261133","0.49985535472261133","0.49985535472261133","0.4","0.4","0.4"
"142","0.6194524668645317","0.6194524668645317","0.6194524668645317","0.5","0.5","0.5","0.4","0.4","0.4"
"143","0.599544568925223","0.599544568925223","0.599544568925223","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"144","0.6178761962529","0.6178761962529","0.6178761962529","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"145","0.6285737424541106","0.6285737424541106","0.6285737424541106","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"146","0.8311149977816644","0.8311149977816644","0.8311149977816644","0.5830234996901665","0.5830234996901665","0.5830234996901665","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"147","0.6305263007273689","0.6305263007273689","0.6305263007273689","0.5831371664704998","0.5831371664704998","0.5831371664704998","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"148","0.7491217768995546","0.7491217768995546","0.7491217768995546","0.75","0.75","0.75","0.75","0.75","0.75"
"149","0.7491217768995546","0.7491217768995546","0.7491217768995546","0.7498667761612745","0.7498667761612745","0.7498667761612745","0.6645906180152755","0.6645906180152755","0.6645906180152755"
"150","0.75","0.75","0.75","0.75","0.75","0.75","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"151","0.8254275517347412","0.8254275517347412","0.8254275517347412","0.75","0.75","0.75","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"152","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.75","0.75","0.75","0.6456553219886554","0.6456553219886554","0.6456553219886554"
"153","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8332827997079204","0.8332827997079204","0.8332827997079204","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"154","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8331471218643036","0.8331471218643036","0.8331471218643036","0.5661967026550361","0.5661967026550361","0.5661967026550361"
"155","0.8322956289622956","0.8322956289622956","0.8322956289622956","0.7497476423792213","0.7497476423792213","0.7497476423792213","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"156","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.666532604032604","0.666532604032604","0.666532604032604","0.5666473139806474","0.5666473139806474","0.5666473139806474"
"157","0.75","0.75","0.75","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"158","0.6663440435740905","0.6663440435740905","0.6663440435740905","0.75","0.75","0.75","0.5666336695345134","0.5666336695345134","0.5666336695345134"
"159","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.75","0.75","0.75","0.5666336695345134","0.5666336695345134","0.5666336695345134"
"160","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.7496230594096672","0.7496230594096672","0.7496230594096672","0.65","0.65","0.65"
"161","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.75","0.75","0.75","0.48275838652723074","0.48275838652723074","0.48275838652723074"
"162","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.7491070747421786","0.7491070747421786","0.7491070747421786","0.65","0.65","0.65"
"163","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.75","0.75","0.75","0.5499653540654605","0.5499653540654605","0.5499653540654605"
"164","0.749482867325403","0.749482867325403","0.749482867325403","0.6665025298286793","0.6665025298286793","0.6665025298286793","0.3833333333333333","0.3833333333333333","0.3833333333333333"
"165","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6321028462515274","0.6321028462515274","0.6321028462515274","0.38306478415174067","0.38306478415174067","0.38306478415174067"
"166","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.637565777364266","0.637565777364266","0.637565777364266","0.55","0.55","0.55"
"167","0.6665638935436358","0.6665638935436358","0.6665638935436358","0.606033950617284","0.606033950617284","0.606033950617284","0.6333333333333333","0.6333333333333333","0.6333333333333333"
"168","0.6665802883751601","0.6665802883751601","0.6665802883751601","0.6522054312376893","0.6522054312376893","0.6522054312376893","0.6329181895073368","0.6329181895073368","0.6329181895073368"
"169","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6241405994523201","0.6241405994523201","0.6241405994523201","0.6333333333333333","0.6333333333333333","0.6333333333333333"
"170","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6042932960919913","0.6042932960919913","0.6042932960919913","0.5935651070571706","0.5935651070571706","0.5935651070571706"
"171","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.7328282668633546","0.7328282668633546","0.7328282668633546"
"172","0.6665024042307147","0.6665024042307147","0.6665024042307147","0.573540419400292","0.573540419400292","0.573540419400292","0.6900453238503553","0.6900453238503553","0.6900453238503553"
"173","0.6666304614799985","0.6666304614799985","0.6666304614799985","0.5848266620196445","0.5848266620196445","0.5848266620196445","0.75","0.75","0.75"
"174","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6663945982260786","0.6663945982260786","0.6663945982260786","0.6703323742531438","0.6703323742531438","0.6703323742531438"
